Timing,Position,Kinds,BPM,Width,RotateSpeed,TeleportX,TeleportY,TargetX,TargetY,SetScaleX,SetScaleY,ScaleX,ScaleY
1,0.5,0,120,2,,,,,,,,,
1,1.5,0,,2,,,,,,,,,
1,2.5,0,,2,,,,,,,,,
1,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
2,0.5,1,120,1,,,,,,,,,
2,2.5,1,,1,,,,,,,,,
,,,,,,,,,,,,,
3,0.5,0,120,2,,,,,,,,,
3,1.5,0,,2,,,,,,,,,
3,2.5,0,,2,,,,,,,,,
3,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
4,0.5,2,120,3,,,,,,,,,
4,3.5,3,,3,,,,,,,,,
,,,,,,,,,,,,,
5,0.5,0,120,1,,,,,,,,,
5,1.5,0,,2,,,,,,,,,
5,2.5,0,,1,,,,,,,,,
5,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
6,0.5,1,120,3,,,,,,,,,
6,2.5,1,,3,,,,,,,,,
,,,,,,,,,,,,,
7,0.5,0,120,0,,,,,,,,,
7,1.5,0,,1,,,,,,,,,
7,2.5,0,,2,,,,,,,,,
7,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8,0.5,0,120,1,,,,,,,,,
8,1.5,0,,1,,,,,,,,,
8,2.5,1,,2,,,,,,,,,
8,3.5,0,,1,,,,,,,,,
,,,,,,,,,,,,,
9,0.5,2,120,2,,,,,,,,,
9,1.5,3,,2,,,,,,,,,
9,2.5,1,,3,,,,,,,,,
9,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
10,0.5,0,120,0.5,,,,,,,,,
10,1.5,0,,1,,,,,,,,,
10,2.5,1,,2,,,,,,,,,
10,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
11,0.5,2,120,1,,,,,,,,,
11,1.5,3,,1,,,,,,,,,
11,2.5,1,,3,,,,,,,,,
11,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
12,0.5,0,120,1,,,,,,,,,
12,1.5,0,,2,,,,,,,,,
12,2.5,1,,1,,,,,,,,,
12,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13,0.5,0,120,2,,,,,,,,,
13,1,2,,2,,,,,,,,,
13,1.5,3,,2,,,,,,,,,
13,2,0,,2,,,,,,,,,
13,2.5,2,,2,,,,,,,,,
13,3,3,,2,,,,,,,,,
13,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
14,0.5,0,120,0.5,,,,,,,,,
14,1.5,0,,0.5,,,,,,,,,
14,2.5,0,,0.5,,,,,,,,,
14,3.5,0,,0.5,,,,,,,,,
,,,,,,,,,,,,,
15,0.5,0,120,2,,,,,,,,,
15,1.5,2,,2,,,,,,,,,
15,3,3,,2,,,,,,,,,
15,3.5,1,,2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
16,0.5,0,120,1,,,,,,,,,
16,1.5,0,,2,,,,,,,,,
16,2.5,0,,3,,,,,,,,,
16,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17,0.5,2,120,1,,,,,,,,,
17,1.5,3,,1,,,,,,,,,
17,2.5,2,,3,,,,,,,,,
17,3.5,3,,3,,,,,,,,,
,,,,,,,,,,,,,
18,0.5,0,120,1,,,,,,,,,
18,1.5,0,,3,,,,,,,,,
18,2.5,0,,1,,,,,,,,,
18,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
19,0.5,2,120,2,,,,,,,,,
19,1.5,3,,2,,,,,,,,,
19,2.5,2,,3,,,,,,,,,
19,3.5,3,,3,,,,,,,,,
