Character_name,Line
,
Chiptune,안녕. 이번에 의뢰를 하게 된 Chiptune라고 해.
Chiptune,보다시피 엘프지.
Player,…
Chiptune,... @너 방금 왜 엘프가 칼을 들고 있냐고 생각했지?!
Chiptune,바로 그게 문제야. @왜 엘프는 무조건 활로 싸워야 하는건데?
Chiptune,그게 싫어서 일부러 칼을 들게 된건데…
Chiptune,다들 나를 이상하게 보더라고.
Chiptune,반항심에 점점 훈련을 게을리하다보니 이제 리듬에 맞춰서 싸우는 법을 잊어버렸어.
Chiptune,제발 도와줘... 이대로 가다간 쓸모없는 엘프로 추방당하고 말거야.
Chiptune,내 리듬은 아주 간단해. @전에 Flat이 말해줬던 거 기억하지?
Chiptune,"일반 노트, 더블 노트, 홀드 노트가 섞여서 나올거야."
Chiptune,가끔 같은 박자도 이상하게 놓여있어서 너를 헷갈리게 만들 수도 있어.
Chiptune,하지만 기억해둬. 들은 대로만 치면 되는거야.
Chiptune,알겠지? 준비가 되면 나를 도우러 와줘!
